Year,Round,HARD,MEDIUM,SOFT
2022,1,C1,C2,C3
2022,2,C2,C3,C4
2022,3,C2,C3,C5
2022,4,C2,C3,C4
2022,5,C2,C3,C4
2022,6,C1,C2,C3
2022,7,C3,C4,C5
2022,8,C3,C4,C5
2022,9,C3,C4,C5
2022,10,C1,C2,C3
2022,11,C3,C4,C5
2022,12,C2,C3,C4
2022,13,C2,C3,C4
2022,14,C2,C3,C4
2022,15,C1,C2,C3
2022,16,C2,C3,C4
2022,17,C3,C4,C5
2022,18,C1,C2,C3
2022,19,C2,C3,C4
2022,20,C2,C3,C4
2022,21,C2,C3,C4
2022,22,C3,C4,C5
2023,1,C1,C2,C3
2023,2,C2,C3,C4
2023,3,C3,C4,C5
2023,4,C3,C4,C5
2023,5,C2,C3,C4
2023,6,C3,C4,C5
2023,7,C1,C2,C3
2023,8,C3,C4,C5
2023,9,C3,C4,C5
2023,10,C1,C2,C3
2023,11,C3,C4,C5
2023,12,C2,C3,C4
2023,13,C1,C2,C3
2023,14,C3,C4,C5
2023,15,C3,C4,C5
2023,16,C1,C2,C3
2023,17,C1,C2,C3
2023,18,C2,C3,C4
2023,19,C3,C4,C5
2023,20,C2,C3,C4
2023,21,C3,C4,C5
2023,22,C3,C4,C5
2024,1,C1,C2,C3
2024,2,C2,C3,C4
2024,3,C3,C4,C5
2024,4,C1,C2,C3
2024,5,C2,C3,C4
2024,6,C2,C3,C4
2024,7,C3,C4,C5
2024,8,C3,C4,C5
2024,9,C3,C4,C5
2024,10,C1,C2,C3
2024,11,C3,C4,C5
2024,12,C1,C2,C3
2024,13,C3,C4,C5
2024,14,C2,C3,C4
2024,15,C1,C2,C3
2024,16,C3,C4,C5
2024,17,C3,C4,C5
2024,18,C3,C4,C5
2024,19,C2,C3,C4
2024,20,C3,C4,C5
2024,21,C3,C4,C5
2024,22,C3,C4,C5
2024,23,C1,C2,C3
2024,24,C3,C4,C5
2025,1,C1,C2,C3
2025,2,C3,C4,C5
2025,3,C4,C5,C6